,age,irish_temperature,irish_rainfall,global_ch4,global_temp_x,global_temp_y,global_co2_x,sigma mean_x,global_co2_y,sigma mean_y
0,-72.0,10.9,,1911.83,,,417.07,0.07,417.07,0.07
1,-71.0,10.5,,1895.28,,,414.7,0.07,414.7,0.07
2,-70.0,10.4,,1878.93,,,412.44,0.06,412.44,0.06
3,-69.0,10.5,,1866.58,,,410.07,0.07,410.07,0.07
4,-68.0,10.3,,1857.33,,,407.61,0.07,407.61,0.07
5,-67.0,10.5,,1849.58,,,405.22,0.07,405.22,0.07
6,-66.0,10.3,88.39166666666667,1843.12,,,403.07,0.06,403.07,0.06
7,-65.0,9.9,112.16666666666667,1834.26,,,399.65,0.05,399.65,0.05
8,-64.0,10.5,105.22500000000001,1822.53,,,397.34,0.05,397.34,0.05
9,-63.0,10.0,93.04166666666667,1813.43,,,395.4,0.06,395.4,0.06
10,-62.0,10.0,98.64166666666667,1808.12,,,392.65,0.06,392.65,0.06
11,-61.0,10.3,93.875,1803.14,,,390.63,0.05,390.63,0.05
12,-60.0,9.1,82.30833333333332,1798.91,,,388.76,0.06,388.76,0.06
13,-59.0,10.1,114.63333333333334,1793.52,,,386.5,0.04,386.5,0.04
14,-58.0,10.1,104.125,1787.01,,,385.02,0.05,385.02,0.05
15,-57.0,10.8,88.88333333333333,1781.38,,,382.9,0.04,382.9,0.04
16,-56.0,10.7,98.45833333333333,1774.94,,,381.15,0.05,381.15,0.05
17,-55.0,10.6,87.48333333333333,1774.16,218.3,218.3,378.98,0.05,378.98,0.05
18,-54.0,10.4,87.77499999999999,1777.05,,,376.95,0.06,376.95,0.06
19,-53.0,10.5,77.89999999999999,1777.33,,,375.14,0.04,375.14,0.04
20,-52.0,10.4,116.10833333333333,1772.66,,,372.58,0.04,372.58,0.04
21,-51.0,9.9,77.05833333333332,1771.22,,,370.57,0.05,370.57,0.05
22,-50.0,10.0,99.64166666666667,1773.22,,,368.96,0.06,368.96,0.06
23,-49.0,10.4,96.10833333333333,1772.33,,,367.79,0.05,367.79,0.05
24,-48.0,10.4,104.79166666666667,1765.54,,,365.7,0.04,365.7,0.04
25,-48.0,10.4,104.79166666666667,1765.54,,,365.7,0.04,361.78,0.37
26,-48.0,10.4,104.79166666666667,1765.54,,,361.78,0.37,365.7,0.04
27,-48.0,10.4,104.79166666666667,1765.54,,,361.78,0.37,361.78,0.37
28,-47.0,10.6,93.86666666666667,1754.48,,,363.04,0.05,363.04,0.05
29,-46.0,9.5,93.99166666666667,1751.28,,,361.93,0.04,361.93,0.04
30,-45.0,10.4,91.98333333333333,1748.88,,,360.17,0.05,360.17,0.05
31,-44.0,9.8,103.05,1742.07,,,358.33,0.08,358.33,0.08
32,-43.0,9.6,97.19166666666666,1736.53,,,356.83,0.07,356.83,0.07
33,-42.0,9.8,88.35833333333333,1735.47,,,356.09,0.06,356.09,0.06
34,-41.0,9.8,84.64166666666667,1724.78,,,355.39,0.07,355.39,0.07
35,-40.0,10.3,91.74166666666667,1714.43,,,354.06,0.07,354.06,0.07
36,-39.0,10.2,84.26666666666667,1704.53,,,352.79,0.07,352.79,0.07
37,-38.0,9.8,97.85000000000001,1693.28,,,351.16,0.07,351.16,0.07
38,-37.0,9.4,84.76666666666667,1682.7,,,348.68,0.1,348.68,0.1
39,-36.0,8.8,102.10000000000001,1670.09,,,346.97,0.07,346.97,0.07
40,-35.0,9.2,95.63333333333333,1657.29,,,345.54,0.07,345.54,0.07
41,-34.0,9.7,88.48333333333333,1644.85,,,344.07,0.08,344.07,0.08
42,-33.0,10.1,89.08333333333333,,,,342.53,0.06,342.53,0.06
43,-32.0,9.7,104.23333333333333,,,,340.85,0.03,340.85,0.03
44,-31.0,9.6,95.71666666666665,,,,340.11,0.09,340.11,0.09
45,-30.0,9.5,99.53333333333335,1479.880869,,,338.91,0.07,338.91,0.07
46,-30.0,9.5,99.53333333333335,1479.3387630000002,,,338.91,0.07,338.91,0.07
47,-29.0,8.8,96.38333333333334,,,,336.85,0.11,336.85,0.11
48,-28.0,9.6,91.64999999999999,,,,,,,
49,-27.0,9.5,96.99166666666667,1458.136395,,,,,,
50,-26.0,9.8,84.22500000000001,,,,,,,
51,-25.0,10.0,72.63333333333334,1420.4399500000002,,,,,,
52,-24.0,9.4,94.75,1399.5553776,,,,,,
53,-23.0,9.8,81.56666666666668,1385.8054000000002,,,,,,
54,-22.0,9.1,88.10833333333333,,,,,,,
55,-21.0,10.1,70.35000000000001,1357.2277133333337,,,,,,
56,-20.0,9.6,87.75833333333333,1351.6728,,,,,,
57,-19.0,9.3,78.33333333333333,,,,,,,
58,-18.0,9.5,92.0,1306.584531,,,,,,
59,-17.0,9.5,91.75,1278.3881000000001,,,,,,
60,-17.0,9.5,91.75,1285.1644250000002,,,,,,
61,-16.0,9.7,103.26666666666667,,,,,,,
62,-15.0,9.2,98.20833333333333,1260.7224968,,,,,,
63,-15.0,9.2,98.20833333333333,1261.3418780000002,,,,,,
64,-14.0,9.8,87.85833333333333,1273.2682100000002,,,,,,
65,-14.0,9.8,87.85833333333333,1248.5722700000001,,,,,,
66,-14.0,9.8,87.85833333333333,1258.7116600000002,,,,,,
67,-14.0,9.8,87.85833333333333,1260.6190700000002,,,,,,
68,-13.0,8.9,87.44166666666666,,,,,,,
69,-12.0,9.1,84.73333333333333,,,,,,,
70,-11.0,9.9,89.00833333333333,,,,,,,
71,-10.0,9.7,110.675,1205.918504,,,,,,
72,-9.0,10.4,84.60000000000001,1191.7029968,,,,,,
73,-8.0,9.7,106.74166666666667,1173.9737696000002,,,,,,
74,-7.0,10.1,92.39999999999999,1186.4492,,,,,,
75,-7.0,10.1,92.39999999999999,1179.5216000000003,,,,,,
76,-6.0,9.5,88.84166666666665,1151.1152952,,,,,,
77,-6.0,9.5,88.84166666666665,1162.1985719999998,,,,,,
78,-5.0,9.7,81.58333333333333,1139.9703680000002,,,,,,
79,-5.0,9.7,81.58333333333333,1143.5141350000001,,,,,,
80,-5.0,9.7,81.58333333333333,1145.27104,,,,,,
81,-5.0,9.7,81.58333333333333,1139.4698232,,,,,,
82,-4.0,9.5,103.45833333333333,1137.5716303999998,,,,,,
83,-3.0,10.1,74.74166666666666,1130.173524,,,,,,
84,-3.0,10.1,74.74166666666666,1131.0067775999999,,,,,,
85,-2.0,9.4,77.43333333333334,,,,,,,
86,-1.0,9.3,97.59166666666665,1106.5010903999998,,,,,,
87,0.0,9.5,97.53333333333335,1102.8863020000001,,,,,,
88,0.0,9.5,97.53333333333335,1108.5081464,,,,,,
89,1.0,10.6,81.075,1097.5260456,,,,,,
90,2.0,10.1,101.80833333333334,1091.5426823999999,,,,,,
91,2.0,10.1,101.80833333333334,1094.380149,,,,,,
92,2.0,10.1,101.80833333333334,1090.8901343999999,,,,,,
93,3.0,9.6,103.95,1080.4995624,,,,,,
94,4.0,9.7,101.175,1082.837912,,,,,,
95,4.0,9.7,101.175,1081.8244800000002,,,,,,
96,5.0,10.7,85.51666666666667,1076.6043527999998,,,,,,
97,5.0,10.7,85.51666666666667,1072.946884,,,,,,
98,5.0,10.7,85.51666666666667,1079.873794,,,,,,
99,6.0,10.0,88.55833333333334,1082.5050800000001,,,,,,
100,6.0,10.0,88.55833333333334,1075.560276,,,,,,
101,6.0,10.0,88.55833333333334,1075.6707072,,,,,,
102,7.0,10.2,88.28333333333335,1069.48656,,,,,,
103,7.0,10.2,88.28333333333335,1071.1028711999998,,,,,,
104,8.0,9.7,86.65833333333335,1069.0950280000002,,,,,,
105,8.0,9.7,86.65833333333335,1072.7994959999999,,,,,,
106,9.0,9.4,80.28333333333333,1060.056808,,,,,,
107,9.0,9.4,80.28333333333333,1062.1580790000003,,,,,,
108,9.0,9.4,80.28333333333333,1055.6782,,,,,,
109,10.0,9.7,93.3,1059.93946,,,,,,
110,10.0,9.7,93.3,1063.3215344,,,,,,
111,11.0,9.8,86.425,1058.242656,,,,,,
112,11.0,9.8,86.425,1059.0759096000002,,,,,,
113,12.0,10.0,100.28333333333335,,,,,,,
114,13.0,9.5,91.48333333333333,,,,,,,
115,14.0,9.6,92.41666666666667,1045.2323250000002,,,,,,
116,15.0,9.6,85.39166666666667,,,,,,,
117,16.0,10.0,92.0,1028.9583096000001,,,,,,
118,16.0,10.0,92.0,1023.19672,,,,,,
119,17.0,10.0,68.425,,,,,,,
