depth (m),gas age (a B1950),CH4 (ppbv)
99.34,194.417,907
102.45,349.004,784
102.58,349.382,762
103.34,351.595,710
104.33,370.178,727
104.69,386.1,696
104.78,390.08,683
106.61,473.595,679
107.69,512.812,676
108.79,536.004,651
109.83,539.237,684
110.46,539.855,681
112.14,595.43,670
113.03,644.197,644
114.67,726.456,670
114.78,731.305,668
115.22,750.701,680
118.48,865.05,667
118.74,869.81,669
120.85,917.726,680
121.15,937.734,643
124.34,1090.03,664
124.58,1099.76,647
125.29,1128.55,648
126.33,1153.26,640
126.75,1162.41,636
129.18,1245.71,635
130.79,1275.19,633
131.83,1290.83,644
134.25,1377.75,643
134.48,1382.41,629
135.19,1396.78,635
137.75,1466.72,635
137.98,1475.62,650
140.73,1625.42,631
141.07,1641.95,638
143.38,1706.12,632
144.04,1728.62,630
145.8,1798.5,610
146.03,1807.36,623
147.29,1849.46,623
148.33,1874.36,615
148.75,1889.75,623
150.09,1950.43,618
150.63,1975.33,613
153.83,2050.17,613
155.04,2126.13,605
156.15,2160.55,599
157.58,2221.64,604
159.33,2265.18,591
159.67,2265.36,594
159.78,2265.41,609
162.05,2413.79,602
163.82,2445.48,597
164.83,2501.47,595
165.18,2516.17,594
165.28,2519.09,597
167.09,2577.78,593
167.8,2607.76,604
168.09,2620,592
169.41,2662.58,579
170.33,2689.65,603
170.47,2693.58,590
173.05,2797.29,592
173.69,2813.25,586
176.21,2908.43,590
176.28,2914.8,580
176.38,2917.62,588
176.69,2919.34,583
178.26,2925.83,580
178.48,2934.22,578
180.29,2997.31,577
180.78,3022.36,577
183.97,3187.28,581
185.28,3240.55,573
187.28,3280.98,576
188.04,3289.47,589
189.48,3410.24,568
192.33,3520.09,581
193.55,3552.6,589
195.73,3631.16,573
197.83,3682.8,570
198.2,3689.51,560
200.13,3736.53,575
200.8,3777.5,596
201.03,3791.57,578
203.33,3832.4,578
203.47,3837.37,581
205.63,3936.36,576
208.83,4071.56,574
209.25,4094.15,578
211.14,4173.24,575
211.81,4192.85,549
212.03,4199.06,568
214.33,4252.98,576
214.47,4255.89,563
215.98,4311.46,570
217.09,4364.86,582
220.38,4478.04,577
220.52,4481.45,568
221.11,4496.18,579
222.25,4564.6,584
222.48,4578.41,570
224.23,4637.64,570
224.78,4644.29,568
225.12,4645.83,582
225.23,4646.33,562
225.94,4649.54,580
227.6,4743.9,560
228.74,4797.9,580
229.76,4842.23,560
231.4,4902.68,563
231.99,4919.49,560
233.09,4956.1,570
233.48,4971.87,563
235.23,5050.66,579
235.78,5077.64,570
236.13,5086.26,573
236.23,5086.42,568
240.15,5212.04,561
241.85,5287.46,563
242.88,5320.62,551
244.09,5348.57,553
244.48,5354.58,558
246.29,5411.78,574
247.76,5527.85,561
247.86,5529.94,564
249.53,5562.81,577
250.6,5579.43,565
251.73,5656.47,570
252.85,5730.43,566
253.44,5755.1,580
255.06,5838.99,581
255.82,5844.43,563
256.03,5879.75,568
257.29,5886.54,591
258.33,5891.51,571
258.65,5910.81,578
258.78,5918.65,570
258.92,5927.09,581
259.98,5972.39,584
260.53,5994.54,586
263.83,6061.97,575
264.99,6112.14,570
266.09,6171.22,584
268.13,6290.52,564
268.23,6295.29,602
268.92,6328.18,592
269.12,6332.36,597
269.23,6334.13,581
269.94,6345.61,597
271.63,6385.23,590
275.71,6556.27,590
275.83,6561.61,577
276.09,6573.18,583
277.03,6615.01,592
277.82,6657.33,577
278.03,6669.1,580
278.13,6674.7,581
279.23,6727.6,587
279.78,6745.76,588
280.94,6771.33,617
282.53,6801.45,602
283.61,6873.02,602
285.28,6933.87,599
285.61,6949.08,601
285.73,6956.33,595
286.44,6999.23,607
287.59,7037.81,604
287.89,7037.97,636
288,7038.4,603
289.19,7059.59,608
291.33,7174.82,605
293.59,7191.81,633
294.18,7224.28,607
295.73,7324.56,614
297.2,7390.65,631
297.28,7394.32,610
299.41,7486.07,612
299.48,7488.74,607
300.19,7515.75,623
302.33,7654.75,618
303.5,7666.3,618
305.08,7709.67,602
305.64,7718.48,623
308.28,7841.07,612
308.36,7847.44,602
308.99,7870.12,617
310.96,7919.44,625
311.03,7922.07,610
311.68,7946.48,617
312.2,7946.79,617
313.33,7951.42,623
314.48,7995.18,620
315.62,8054.45,619
316.08,8079.62,623
316.69,8113,620
317.15,8133.17,623
317.73,8156.61,618
319.13,8191.49,620
319.28,8192.77,611
319.46,8194.29,612
320.53,8240,614
321.03,8286.83,620
321.62,8342.08,598
322.11,8350.99,600
322.22,8352.15,612
322.75,8353.27,589
323.3,8353.5,613
324.35,8415.38,624
324.95,8456.17,660
325.43,8484.15,632
325.98,8514.81,606
326.6,8549.37,626
327.08,8573.76,633
327.14,8576.73,624
327.63,8601,651
328.18,8628.24,640
329.85,8676.21,642
330.24,8694.81,641
330.99,8740.59,660
332.89,8781.19,647
333.03,8781.22,649
334.73,8843.76,665
335.64,8891.09,648
335.78,8898.74,660
337.53,8965.16,654
338.08,8977.94,654
340.13,9032.33,662
340.83,9046.56,657
343.31,9125.88,671
343.48,9132.99,659
345.23,9209.58,675
346.64,9279.89,676
346.78,9285.57,658
348.61,9346.92,674
349.08,9352.77,657
350.76,9395.63,648
351.85,9425.91,671
354.12,9491.22,664
355.51,9517.16,671
355.58,9517.41,665
357.1,9519.54,664
357.23,9520.53,665
357.94,9525.94,666
359.53,9550,663
361.73,9565.56,675
362.51,9570.37,671
362.73,9571.73,674
365.09,9652.17,676
367.3,9777.7,675
368.88,9864.83,682
369.49,9897.8,685
370.84,9971.34,689
370.98,9978.98,683
372.74,10059.6,693
374.38,10116.5,676
374.99,10133,674
376.76,10178.6,670
377.03,10186.2,682
378.24,10227.4,675
379.33,10278.1,685
381.53,10343.3,678
383.85,10441.6,717
385.34,10515.5,698
387.83,10640.3,694
388.09,10670.1,678
389.26,10800.9,682
389.78,10801.6,688
392.98,10804,672
393.53,10825.6,661
395.23,10870.8,669
396.24,10942.1,652
398.79,11065.5,671
399.03,11077.3,666
400.26,11128.7,685
401.33,11157.9,681
404.36,11189.6,694
404.53,11194.1,673
405.81,11227.5,679
407.24,11302.8,703
410.87,11509.5,650
411.13,11516.3,633
412.51,11530.5,653
412.78,11539.6,654
415.08,11540.3,665
418.02,11547.9,643
418.28,11551.7,559
